Gen	Col	A	B	NumActs1	NumActs2	WorkAlloc1	WorkAlloc2	Idle	Fitness	Mean_F	Mean_F_franjo
0	0	0.5	0.5	3768	4322	38.549	45.0784		0	2087.18	0.0666341	0.533317
0	1	0.5	0.5	4197	3877	42.9412	39.6863		0	2066.85	0.0534641	0.526732
0	2	0.5	0.5	4141	3982	42.6863	40.3137		0	2070.27	0.0717838	0.535892
0	3	0.5	0.5	4371	3744	44.3922	38.6471		0	2073.14	0.0451048	0.522552
0	4	0.5	0.5	4190	3913	43.4118	40.6275		0	2098.25	0.0784488	0.539224
0	5	0.5	0.5	4253	3860	44.1765	39.3333		0	2086.61	0.0668497	0.533425
0	6	0.5	0.5	3914	4200	38.6863	45.1176		0	2088.26	0.0270452	0.513523
0	7	0.5	0.5	3932	4138	39.3333	43.1373		0	2060.29	0.0896463	0.544823
0	8	0.5	0.5	4095	4034	41.6275	41.9804		0	2089.49	0.0418789	0.520939
0	9	0.5	0.5	3898	4214	39.5686	43.902		0	2082.35	0.0607318	0.530366
0	10	0.5	0.5	4130	4006	41.6078	42.2157		0	2090.43	0.0729577	0.536479
0	11	0.5	0.5	4017	4077	40.0784	43.0392		0	2076.23	0.104542	0.552271
0	12	0.5	0.5	3969	4165	38.3725	45.0588		0	2078.56	0.0248892	0.512445
0	13	0.5	0.5	3741	4383	40.902	42.7059		0	2088.47	0.0251958	0.512598
0	14	0.5	0.5	3966	4120	39.4706	44.1569		0	2088.25	0.0382802	0.51914
0	15	0.5	0.5	3916	4092	40.3529	42.902		0	2081.14	0.0442369	0.522118
0	16	0.5	0.5	4239	3852	43.3333	40.1176		0	2085.47	0.0747119	0.537356
0	17	0.5	0.5	4137	3912	43.0392	40.0196		0	2074.61	0.140224	0.570112
0	18	0.5	0.5	4271	3845	42.8431	40.6471		0	2089.4	0.0412069	0.520603
0	19	0.5	0.5	4154	3903	42.902	40.1176		0	2073.75	0.0713706	0.535685
0	20	0.5	0.5	4309	3832	44.9216	38.9608		0	2091.58	0.0343384	0.517169
0	21	0.5	0.5	3935	4197	42.098	41.7451		0	2093.94	0.0640792	0.53204
0	22	0.5	0.5	4291	3816	43.6471	39.9216		0	2087.84	0.0618594	0.53093
0	23	0.5	0.5	4090	4005	41.8824	41.5098		0	2082.49	0.0957517	0.547876
0	24	0.5	0.5	4159	3892	45.0588	38.2353		0	2072.04	0.0880755	0.544038
0	25	0.5	0.5	4062	4047	42.4118	40.6863		0	2078.11	0.00526213	0.502631
0	26	0.5	0.5	4059	3991	43.2745	40.0588		0	2081.94	0.0792009	0.5396
0	27	0.5	0.5	4049	4097	42.9216	40.8039		0	2090.28	0.070736	0.535368
0	28	0.5	0.5	4004	4098	38.7647	44.7647		0	2085.39	0.050996	0.525498
0	29	0.5	0.5	4183	3937	42.7843	40.6471		0	2088.79	0.0982338	0.549117
0	30	0.5	0.5	3971	4110	41.1765	42.0784		0	2081.42	0.0145877	0.507294
0	31	0.5	0.5	4177	3900	42.4902	40.6471		0	2078.53	0.0683622	0.534181
0	32	0.5	0.5	3823	4252	42.0196	40.8039		0	2070.29	-0.0143846	0.492808
0	33	0.5	0.5	4013	4048	42.8627	40.549		0	2084.53	0.0626094	0.531305
0	34	0.5	0.5	4128	3972	41.3137	41.7059		0	2077.97	0.0844823	0.542241
0	35	0.5	0.5	3950	4075	40.8431	41.4118		0	2052.89	0.0478366	0.523918
0	36	0.5	0.5	4036	4040	39.4902	43.4314		0	2064.29	0.0317722	0.515886
0	37	0.5	0.5	4032	4128	41.8824	41.9804		0	2096.99	0.110524	0.555262
0	38	0.5	0.5	4127	3912	44.9608	38.1765		0	2073.25	0.0583091	0.529155
0	39	0.5	0.5	4259	3885	43.8039	39.451		0	2076.62	0.0619412	0.530971
0	40	0.5	0.5	4204	3881	44.4118	38.8235		0	2077.82	0.0276189	0.513809
0	41	0.5	0.5	4392	3721	44.8039	38.0392		0	2063.41	0.0359154	0.517958
0	42	0.5	0.5	4202	3867	41.5686	41.3725		0	2073.99	0.0191484	0.509574
0	43	0.5	0.5	4055	4052	41.4902	41.6078		0	2076	0.0976539	0.548827
